epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,16680.8,0.91942,2.04879,0.74883,1.14004,0,0.90182,0.91143,0.9565,0.76902,0.89952,0.89526,0.94151,0.65612,0.69469,1.52299,0.50685,1.01652,0,0.0014654,0.0014654,0.0014654
29,17374.2,0.90597,2.05816,0.74871,1.13287,0,0.882,0.90078,0.95418,0.7643,0.88895,0.8907,0.94287,0.64365,0.70695,1.54493,0.52757,1.01752,0,0.0014456,0.0014456,0.0014456
30,18166.6,0.88468,2.00556,0.68987,1.12563,0,0.89373,0.90619,0.94796,0.75951,0.89552,0.87519,0.92915,0.63565,0.72958,1.58846,0.53961,1.03276,0,0.0014258,0.0014258,0.0014258
31,18845.4,0.87629,1.98489,0.70139,1.12238,0,0.8925,0.89845,0.95252,0.76719,0.87786,0.88372,0.93065,0.65167,0.70064,1.51319,0.52483,1.01728,0,0.001406,0.001406,0.001406
32,19511.1,0.902,2.0296,0.71549,1.13416,0,0.8961,0.92016,0.9613,0.77411,0.89034,0.9124,0.95015,0.65835,0.68971,1.51067,0.48311,0.99838,0,0.0013862,0.0013862,0.0013862
33,20298.3,0.88773,2.03794,0.6941,1.12738,0,0.89196,0.92636,0.95838,0.77103,0.89127,0.89922,0.94189,0.65268,0.6997,1.50001,0.52917,1.01812,0,0.0013664,0.0013664,0.0013664
34,21054,0.912,2.01874,0.71011,1.14504,0,0.90316,0.92016,0.9617,0.77879,0.90186,0.90465,0.95262,0.66423,0.67253,1.47,0.48814,0.99336,0,0.0013466,0.0013466,0.0013466
35,21674.6,0.85481,1.88008,0.67374,1.10627,0,0.91354,0.91741,0.96459,0.79253,0.90415,0.89937,0.94896,0.66659,0.6565,1.44804,0.46884,0.98262,0,0.0013268,0.0013268,0.0013268
36,36540.8,0.90204,1.96121,0.6846,1.12866,0,0.9085,0.91318,0.96303,0.78894,0.90317,0.90378,0.94806,0.67347,0.65791,1.43189,0.45276,0.97559,0,0.001307,0.001307,0.001307
37,37222.3,0.85961,1.92406,0.66713,1.10924,0,0.89889,0.92791,0.96007,0.78976,0.90765,0.91085,0.95111,0.67852,0.6331,1.41407,0.4739,0.97183,0,0.0012872,0.0012872,0.0012872
38,37648.3,0.86556,1.91369,0.67543,1.10632,0,0.89209,0.91641,0.9577,0.78621,0.88666,0.90155,0.94174,0.66325,0.66799,1.44186,0.50069,0.98196,0,0.0012674,0.0012674,0.0012674
39,44015.9,0.83042,1.87452,0.65262,1.08952,0,0.90996,0.94109,0.96714,0.79712,0.89837,0.92511,0.95226,0.66961,0.62609,1.43875,0.45421,0.95563,0,0.0012476,0.0012476,0.0012476
40,44676.9,0.84462,1.88415,0.65802,1.10747,0,0.91336,0.9316,0.96998,0.79661,0.90568,0.92305,0.96041,0.69145,0.64054,1.39776,0.44567,0.97092,0,0.0012278,0.0012278,0.0012278
41,45340.9,0.83876,1.92664,0.64909,1.09838,0,0.91646,0.92791,0.96962,0.79885,0.9156,0.91705,0.95813,0.67622,0.64622,1.45231,0.46059,0.97035,0,0.001208,0.001208,0.001208
42,45996.3,0.85603,1.91087,0.67343,1.10554,0,0.91397,0.93876,0.97272,0.81694,0.91057,0.93256,0.96302,0.68938,0.60855,1.3782,0.42644,0.94721,0,0.0011882,0.0011882,0.0011882
43,46667.1,0.83849,1.8641,0.64571,1.09418,0,0.90575,0.93868,0.9658,0.80493,0.90197,0.92724,0.95615,0.68217,0.61272,1.39578,0.45545,0.94633,0,0.0011684,0.0011684,0.0011684
44,47308.9,0.82663,1.87394,0.62845,1.09274,0,0.91003,0.94264,0.97108,0.78439,0.90761,0.93666,0.96459,0.69105,0.66812,1.37184,0.44182,0.96757,0,0.0011486,0.0011486,0.0011486
45,47956.7,0.81592,1.81755,0.62345,1.08969,0,0.89198,0.92819,0.96667,0.80821,0.88747,0.92016,0.95441,0.68432,0.62155,1.39187,0.43329,0.95507,0,0.0011288,0.0011288,0.0011288
46,48599.8,0.8128,1.87709,0.63941,1.08835,0,0.9212,0.92171,0.97275,0.81705,0.92831,0.9034,0.9676,0.69804,0.59897,1.36572,0.41899,0.94434,0,0.001109,0.001109,0.001109
