epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,55191.5,0.83778,0.51556,1.06897,0.98273,0.99125,0.99422,0.83228,0.68924,0.37202,0.95309,0.0011882,0.0011882,0.0011882
43,60871.5,0.80638,0.48754,1.05761,0.98411,0.99295,0.9942,0.84541,0.64417,0.35731,0.93338,0.0011684,0.0011684,0.0011684
44,61023.1,0.83138,0.50091,1.06894,0.98558,0.99646,0.9938,0.83886,0.65846,0.36149,0.94761,0.0011486,0.0011486,0.0011486
45,61175.3,0.80903,0.50624,1.0453,0.98385,0.99708,0.99295,0.8322,0.67785,0.3588,0.95011,0.0011288,0.0011288,0.0011288
46,61327.9,0.80701,0.48075,1.04417,0.98477,0.99708,0.99446,0.84209,0.66695,0.36245,0.95322,0.001109,0.001109,0.001109
47,61480.7,0.80346,0.48713,1.04548,0.9856,0.99563,0.99402,0.85344,0.61534,0.32782,0.92613,0.0010892,0.0010892,0.0010892
48,61632.6,0.7535,0.46474,1.03438,0.98131,0.99512,0.99374,0.84554,0.62707,0.34698,0.92804,0.0010694,0.0010694,0.0010694
49,65903.2,0.78881,0.47931,1.04222,0.98555,0.99415,0.99376,0.8539,0.60768,0.33019,0.91476,0.0010496,0.0010496,0.0010496
50,66062.3,0.79609,0.4834,1.05341,0.98829,0.9898,0.99444,0.85164,0.62257,0.34722,0.92462,0.0010298,0.0010298,0.0010298
51,66396.2,0.78511,0.46526,1.04524,0.98558,0.996,0.99147,0.85754,0.60995,0.33338,0.91961,0.00101,0.00101,0.00101
52,66774.3,0.78335,0.47472,1.04898,0.98126,1,0.99331,0.84369,0.63003,0.32162,0.92231,0.0009902,0.0009902,0.0009902
53,66931.2,0.78434,0.45603,1.04264,0.98704,0.99936,0.99405,0.85508,0.60627,0.32597,0.91296,0.0009704,0.0009704,0.0009704
54,67226.6,0.7543,0.4436,1.03339,0.99229,0.99563,0.99485,0.85439,0.61678,0.31758,0.91365,0.0009506,0.0009506,0.0009506
55,67600.5,0.78181,0.45432,1.04497,0.98988,0.99802,0.99396,0.85796,0.60292,0.32169,0.90609,0.0009308,0.0009308,0.0009308
56,67975.1,0.75579,0.44714,1.03115,0.9846,0.99708,0.99427,0.85181,0.60928,0.32312,0.91263,0.000911,0.000911,0.000911
57,68333.7,0.75127,0.45113,1.04299,0.99217,0.99563,0.99484,0.86783,0.59441,0.31291,0.90828,0.0008912,0.0008912,0.0008912
58,68679.7,0.76019,0.43943,1.02692,0.99235,0.99854,0.99463,0.86949,0.58532,0.3142,0.8964,0.0008714,0.0008714,0.0008714
59,80341.5,0.75652,0.44504,1.02087,0.98927,0.99708,0.99462,0.86589,0.60574,0.319,0.90862,0.0008516,0.0008516,0.0008516
60,80504.7,0.7194,0.42444,1.00902,0.99137,0.99708,0.99441,0.86465,0.59363,0.30473,0.89915,0.0008318,0.0008318,0.0008318
61,80663.8,0.75297,0.45321,1.0359,0.99273,0.99476,0.9945,0.86842,0.59787,0.3019,0.90302,0.000812,0.000812,0.000812
62,80828.3,0.73409,0.43192,1.02,0.99132,0.99835,0.9938,0.8636,0.57704,0.30912,0.9078,0.0007922,0.0007922,0.0007922
