epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,626.361,1.01413,2.43215,1.60182,1.20272,0,0.79701,0.72558,0.8193,0.57125,0.79387,0.67773,0.76005,0.41037,0.9185,2.54425,2.00117,1.21237,0,0.000655172,0.000655172,0.000655172
2,1227.35,1.15659,2.53847,1.4056,1.30124,0,0.67556,0.66825,0.70549,0.42457,0.62247,0.46899,0.44151,0.17982,1.27933,4.86112,1.71835,1.47759,0,0.00130875,0.00130875,0.00130875
3,1997.39,1.24782,2.65572,1.33233,1.33187,0,0.5214,0.53178,0.48303,0.20772,0.52621,0.47442,0.43771,0.15052,1.84799,3.76199,2.18135,1.96258,0,0.00194913,0.00194913,0.00194913
4,2538.99,1.24913,2.63165,1.26482,1.33631,0,0.66702,0.60543,0.69659,0.45186,0.66452,0.59302,0.66498,0.36317,1.27513,2.74192,1.78054,1.47782,0,0.0019406,0.0019406,0.0019406
5,3048.39,1.18253,2.53463,1.14336,1.29373,0,0.81796,0.72093,0.81936,0.55088,0.8035,0.67442,0.75597,0.42041,1.11365,2.51425,1.07011,1.37108,0,0.0019208,0.0019208,0.0019208
6,3575.85,1.18075,2.52159,1.15914,1.28974,0,0.77589,0.65891,0.78162,0.52808,0.77683,0.64186,0.74218,0.38036,1.14236,2.59502,1.29953,1.3671,0,0.001901,0.001901,0.001901
7,4092.63,1.14536,2.42101,1.05468,1.27124,0,0.70065,0.67674,0.74321,0.5111,0.70793,0.65736,0.71412,0.39945,1.05441,2.53948,1.40128,1.28256,0,0.0018812,0.0018812,0.0018812
8,4593.23,1.13463,2.42622,1.04298,1.25749,0,0.78796,0.7062,0.81871,0.56131,0.81948,0.63798,0.76403,0.46317,1.06357,2.16722,1.11852,1.27206,0,0.0018614,0.0018614,0.0018614
9,5225.66,1.08246,2.40654,0.99542,1.23267,0,0.87385,0.56124,0.74861,0.52758,0.87935,0.55935,0.73067,0.41501,1.0787,2.52478,1.50247,1.28077,0,0.0018416,0.0018416,0.0018416
